tr isim,os_isim 
Münir, منير
Münire, مُنیره
Mehdi, مهدی
Naile, نائله
Naci, ناجی
Naciye, ناجیه
Nasır, ناصر
Nebil, نَبیل
Nebile, نبيله
Necla, نَجلا
Nesim, نَسیم
Nesibe, نَسیبه
Numan, نعمان
Naime, نائمه
Naim, نَعیم
Nefise, نَفیسه
Neval, نَوال
Nur, نور
Nesrin, نسرین
Nihat, نهاد
Nadire, نادره
Hacer, حجر
Haşim, هاشم
Hadiye, هادیه
Hilal, هلال
Hifa, هيفاء
Velit, ولید
Verda, وَردا
Yasir, یاسر
Yasemin, یاسمین
Yusuf, یوسف
Yunus, یونس
Cihat, جهاد
Ceyda, جيدا
Cihan, جهان
Murtaza, مرتضی
Musab, مصعب
Nuran, نوران
Ebrar, اَبرار
Celil, جلیل
Cennet, جَنت
Hayriye, خيريه
Remzi, رمزى
Selman, سَلمان
Semra, سَمرا
Sündüs, سُندُس
Şermin, شَرمین
Şerife, شریفه
Şefik, شفیق
Şemsettin, شمس الدين
Sıdkı, صدقي
Tahir, طاهر
Adile, عَدیله
Alime, عالمه
Ferit, فَرید
Kamile, کامله
Maya, مایا
Muhtar, مختار
Mercan, مرجان
Neriman, نَریمان
Nurettin, نور الدين
Vehbi, وهبي
Yaman, يامن
Melek, ملاك
Sacit, ساجد
Sacide, ساجده
Asım, اصم
Fazıl, فاضل
Fahri, فخری
Kâdir, قادر
Kenan, کنعان
Mahir, ماهر
Yezit, يزيد
İbrahim, اِبراهیم
Süleyman, سلیمان
Nermin, نرمين
Şehrazat, شهرزاد
Şirin, شیرین
Feryal, فريال
İshak, اِسحاق
İlyas, الیاس
Eyyüp, ایوب
Zekeriyya, زکریا
Suzan, سوزان
Nuh, نوح
Can, جان
Harun, هارون
Ahmet Arif, احمد عارف
İlhan, ايلخان
Güllü, كللي
Burak, براق
Keziban, كزيبان
Bedia, بديعة
Asiye, آسيه
Efe, أفه
Selman Efe, سلمان أفه
Mert, مرد
Altan, آلتان
Turgut, طورغود
Özge, اوزكه
Senem, سنم
Ferhan, فرحان
Rukiye, رقيه
Muammer, معمر
Enes, انس
Hüseyin Enes, حسين انس
Enes Kemal, انس كمال
Hasan Hüseyin, حسن حسين
Hilmi, حلمى
Ahmet Hilmi, أحمد حلمي
Mehmet Kemal, محمد كمال
Kezban, كزبان
Mustafa Selim, مصطف سليم
Zeynep, زینب
Gülderen, كلدرن
Zeynep Gülderen, زينب كلدرن
Gül, كل
Burak İlhan, بوراق ايلخان
Ayşe, عاءشه
Ebu Bekir, ابوبکر
Rabia, رابعه
Büşra, بُشری
Nisa, نسا
Ganime, غنيمة
Fatma Nisa, فاطمة نساء
Ganimet, غنيمة
Erkut, ايركت
Mikail, مئكاءيل
Mikail Altan, مكايل آلتان
Veli, ولی
Doğan, دوغان
Erdoğan, اردوغان
Ertan, ارتان
Betül, بتول
Bahri, بحرى
Asya, آسيا
Sevtap, سوطاپ
Lütfiye, لطفيه
Gülsüm, کلثوم
Ümmü Gülsüm, اُم‌کلثوم
Kıymet, قيمت
Aslı, اصلي
Nursel, نورسل
Aylin, آیلین
Özcan, اوزجان
Özlem, اوزلم
Kübra, کُبری
Tuğba, طوبى
Ayşegül, عاءشه كل
Su, صو
Fatma Su, فاطمة صو
İsmet, عصمت
Münevver, مُنور
Ela, الا
Ela Nur, الا نور
Cemal, جمال
Camal, جمال
Uğur, اوغور
Nuruz, نوروز
Ege, اكه
Süleyman Hilmi, سليمان حلمي
Tunahan, طوناخان
Emre, امره
Feridun, فريدون
İrem, ارم
İsra, اِسرا
Hakan, خاقان
Rumeysa, رُمَیصا
Sevim, سویم
Metin, متین
Erdinç, اردينچ
İnanç, انانچ
Nasuh, نصوح
Mümine, مؤمنه
Gülten, كلتن
Abdi, عبدى
Abdülbaki, عبد الباقي
Abdüssamed, عبدالصّمد
Acar, آجار
Adahan, آداخان
Adak, آداق
Adeviye, عدويه
Adviye, عدويه
Adıgüzel, آديكوزل
Afife, عفیفه
Afitap, آفتاب
Afşar, آفشار
Ahsen, احسن
Ahu, آهو
Aişe, عاءشه
Aişegül, عاءشه كل
Ayşenur, عاءشه نور
Ajda, اژدا
Akif, عاکِف
Alpcan, آلپ جان
Alper, آلپر
Arife, عارفه
Arzu, آرزو
Aslıhan, اصليخان
Asuman, آسمان
Atatürk, آتاتورك
Atilla, آتیلا
Aydın, آيدين
Ayfer, آيفر
Aykutalp, آيقود آلپ
Ayla, آیلا
Aynur, آی‌نور
Aysel, آیسل
Ayser, آيسر
Aysun, آيسون
Ayten, آيتن
Aytunç, آيتونچ
Aytül, آيتول
Bahaddin, بهاالدّين
Bahadır, بَهادر
Bahar, بهار
Banu, بانو
Begüm, بكوم
Belgin, بلكين
Belgüzar, برگزار
Berk, برق
Berkant, برقانت
Berkay, بركاى
Berna, برنا
Bertan, برتان
Besime, بسيمه
Beyhan, بيخان
Beyza, بيضا
Birgül, بيركل
Birol, بيرول
Birsel, بيرسل
Bora, بورا
Buket, بوكت
Burcu, برجو
Burhan, بُرهان
Cahid, جاهد
Cahit, جاهد
Canan, جانان
Candan, جاندن
Cansu, جانصو
Cemalettin, جمال الدين
Cemaleddin, جمال الدين
