isim,osm,ebced
zekeriyya, زکریا,238
suzan, سوزان,124
nuh, نوح,64
can, جان,54
harun, هارون,262
ahmet arif, احمد عارف,404
i̇lhan, ايلخان,692
güllü, كللي,90
burak, براق,303
keziban, كزيبان,90
bedia, بديعة,486
asiye, آسيه,76
efe, أفه,86
selman efe, سلمان أفه,267
mert, مرد,244
altan, آلتان,482
turgut, طورغود,1225
özge, اوزكه,39
senem, سنم,150
ferhan, فرحان,339
rukiye, رقيه,315
muammer, معمر,350
enes, انس,111
hüseyin enes, حسين انس,239
enes kemal, انس كمال,202
hasan hüseyin, حسن حسين,246
hilmi, حلمى,88
ahmet hilmi, أحمد حلمي,141
mehmet kemal, محمد كمال,183
kezban, كزبان,80
mustafa selim, مصطف سليم,359
zeynep, زینب,69
gülderen, كلدرن,304
zeynep gülderen, زينب كلدرن,373
gül, كل,50
burak i̇lhan, بوراق ايلخان,1001
ayşe, عاءشه,377
ebu bekir, ابوبکر,231
rabia, رابعه,278
büşra, بُشری,512
nisa, نسا,111
ganime, غنيمة,1500
fatma nisa, فاطمة نساء,642
ganimet, غنيمة,1500
erkut, ايركت,631
mikail, مئكاءيل,112
mikail altan, مكايل آلتان,583
veli, ولی,46
doğan, دوغان,1061
erdoğan, اردوغان,1262
ertan, ارتان,652
betül, بتول,438
bahri, بحرى,220
asya, آسيا,72
sevtap, سوطاپ,78
lütfiye, لطفيه,134
gülsüm, کلثوم,596
ümmü gülsüm, اُم‌کلثوم,637
kıymet, قيمت,550
aslı, اصلي,131
nursel, نورسل,346
aylin, آیلین,101
özcan, اوزجان,68
özlem, اوزلم,84
kübra, کُبری,232
tuğba, طوبى,27
ayşegül, عاءشه كل,427
su, صو,96
fatma su, فاطمة صو,626
i̇smet, عصمت,600
münevver, مُنور,296
ela, الا,32
ela nur, الا نور,288
cemal, جمال,74
camal, جمال,74
uğur, اوغور,1213
nuruz, نوروز,269
ege, اكه,26
süleyman hilmi, سليمان حلمي,279
tunahan, طوناخان,717
emre, امره,246
feridun, فريدون,350
i̇rem, ارم,241
i̇sra, اِسرا,262
hakan, خاقان,752
rumeysa, رُمَیصا,341
sevim, سویم,116
metin, متین,500
erdinç, اردينچ,268
i̇nanç, انانچ,105
nasuh, نصوح,154
mümine, مؤمنه,141
gülten, كلتن,500
abdi, عبدى,86
abdülbaki, عبد الباقي,220
abdüssamed, عبدالصّمد,241
acar, آجار,205
adahan, آداخان,657
adak, آداق,106
adeviye, عدويه,95
adviye, عدويه,95
adıgüzel, آديكوزل,78
afife, عفیفه,245
afitap, آفتاب,484
afşar, آفشار,582
ahsen, احسن,119
ahu, آهو,12
aişe, عاءشه,377
aişegül, عاءشه كل,427
ayşenur, عاءشه نور,633
ajda, اژدا,13
akif, عاکِف,171
alpcan, آلپ جان,87
alper, آلپر,233
arife, عارفه,356
arzu, آرزو,214
aslıhan, اصليخان,782
asuman, آسمان,152
atatürk, آتاتورك,1028
atilla, آتیلا,442
aydın, آيدين,75
ayfer, آيفر,291
aykutalp, آيقود آلپ,154
ayla, آیلا,42
aynur, آی‌نور,267
aysel, آیسل,101
ayser, آيسر,271
aysun, آيسون,127
ayten, آيتن,461
aytunç, آيتونچ,470
aytül, آيتول,447
bahaddin, بهاالدّين,103
bahadır, بَهادر,212
bahar, بهار,208
banu, بانو,59
begüm, بكوم,68
belgin, بلكين,112
belgüzar, برگزار,430
berk, برق,302
berkant, برقانت,753
berkay, بركاى,233
berna, برنا,253
bertan, برتان,653
besime, بسيمه,117
beyhan, بيخان,663
beyza, بيضا,813
birgül, بيركل,262
birol, بيرول,248
birsel, بيرسل,302
bora, بورا,209
buket, بوكت,428
burcu, برجو,211
burhan, بُرهان,258
cahid, جاهد,13
cahit, جاهد,13
canan, جانان,105
candan, جاندن,108
cansu, جانصو,150
cemalettin, جمال الدين,169
cemaleddin, جمال الدين,169
cengiz, جنكيز,90
cenker, جنكر,273
ceren, جرن,253
cevdet, جودت,413
cihangir, جهانگیر,289
coşkun, جوشقون,465
cüneyt, جنيد,67
cüneyd, جنيد,67
çağla, چاغلا,1035
çiçek, چيچك,36
çiğdem, چيكدم,77
damla, داملا,76
davut, داود,15
davud, داود,15
deniz, دگيز,41
derya, دریا,215
devlet, دولت,440
dilara, دلآرا,236
dilber, دلبر,236
dilek, ديلك,64
döne, دونه,65
durdu, دوردو,220
dursune, دورسونه,331
dürdane, دُردانه,264
ebru, ابرو,209
ece, اجه,9
ecehan, اجه خان,660
ecmel, اجمل,74
eda, أدا,6
ekrem, اَکرم,261
elif, الف,111
elmas, الماس,132
elvan, الف,111
emel, أمل,71
emral, أمرال,272
eray, أراى,212
erhan, أرخان,852
erkan, اَرکان,272
erman, ایرمان,302
erol, أرول,237
ertuğrul, أرتوغرول,1843
esengül, اسنكل,161
esra, أسرا,262
evren, اورن,257
fadime, فاطمه,135
fatoş, فاطوش,396
fazilet, فَضیلت,1320
fehime, فهيمه,140
feramuz, فرامز,328
ferhat, فَرحت,688
feriha, فرحه,293
ferişte, فرشته,985
fethiye, فتحيه,503
feyza, فيضا,891
fırat, فرات,681
figen, فيكن,160
fikriye, فكريه,315
filiz, فيليز,137
firdevs, فردوس,350
fuad, فؤاد,91
fuat, فؤاد,91
galib, غالب,1033
gamze, غمزه,1052
gazali, غزالى,1048
gazi, غازى,1018
gonca, غنجه,1058
gökçe, كوكچه,54
gökhan, كوكحان,105
gökmen, كوكمن,136
göksel, كوكسل,136
gökşen, كوكشن,396
göktay, كوكطى,65
gönül, كوڭل,76
görkem, كوركم,286
gözde, كوزده,42
gülay, كُلاى,61
gülcan, كُلجان,104
gülden, كلدن,104
güler, كولر,256
gülhan, كولخان,707
gülistan, كلستان,561
gülizar, كُلعذار,1021
gülnaz, كلناز,108
gülsen, كولسن,166
gülser, كُلسر,310
gülseren, كُلسرن,360
gülşah, كلشاه,356
günay, كناى,81
günseli, كونسلى,176
gürbüz, كربز,229
gürcan, كورجان,280
haluk, خلوق,736
hamdiye, حمديه,67
hamide, حمیده,67
handan, خندان,705
hanım, خانم,691
halis, خالص,721
hanifi, حنيفى,158
hasbiye, حسبيه,85
hasibe, حَسیبه,85
hatem, حاتم,449
havva, حوّا,15
havvagül, حوّا كل,65
havva gül, حوّا كل,65
hediye, هدیه,24
huri, حوری,224
huriye, حوریه,229
huruşan, خروشان,1157
hülya, خوليا,647
hümeyra, حميراء,260
hüsne, حسنه,123
i̇fakat, افاقت,582
i̇klime, اِقلیما,182
i̇lknur, ايلكنور,317
i̇mren, إمرن,291
i̇nci, اينجى,74
i̇sa, عیسی,150
kadri, قدري,314
kadriye, قدريه,319
kaniye, كانيه,86
kerem, كرم,260
kısmet, قسمت,600
kibar, كبار,223
kubilay, قوبيلاى,159
kudret, قدرت,704
kürşat, كورشات,927
lale, لاله,66
leyla, لیلا,71
lütfi, لطفي,129
mahbub, محبوب,58
mahire, ماهره,251
mahmud, محمود,98
maide, ماءده,51
makbule, مَقبوله,183
mecid, مجيد,57
mecit, مجيد,57
mediha, مَدیحه,67
mehmed, محمد,92
mehtab, مهتاب,448
mehtap, مَهتاب,448
melahat, ملاحت,479
meliha, مليحه,93
melike, مَلیکه,105
melis, مَليس,140
meltem, ملتم,510
meral, مرال,271
mersiye, مرثيه,755
merve, مروه,251
mesud, مسعود,180
mete, مهته,450
mihriban, مهربان,298
mine, مينه,105
miyase, مياسه,116
muazzez, معزّز,124
muhammed, محمّد,92
murad, مراد,245
musa, موسی,116
mutlu, موتلو,482
mübeccel, مبجّل,75
mücevher, مجوهر,254
mürüvvet, مروّت,646
müsade, مصاده,140
müzeyyen, مزيّن,107
nadide, ناديده,74
nalan, نالان,132
narin, نارین,311
naz, ناز,58
nazife, نظيفه,1045
nazire, نَظیره,1165
nazlı, نازلى,98
nazmiye, نظميه,1005
necdet, نجدت,457
necmiye, نَجمیه,108
nergis, نركس,330
nesime, نَسیمه,165
neslihan, نسليخان,801
nevin, نوين,116
nevriye, نوريه,271
nevzat, نوزاد,68
nezihe, نزيهه,77
nigar, نِگار,271
nihal, نهال,86
nil, نیل,90
nilay, نيلاي,101
nilüfer, نیلوفر,376
nilva, نيلوا,97
nimet, نِعمت,560
nuray, نوراى,267
nurcan, نورجان,310
nureddin, نورالدّين,351
nuri, نوری,266
nuriye, نوریه,271
nurseli, نورسلى,356
nurşen, نورشن,606
nurten, نورتن,706
nurullah, نور الله,322
oğuz, اوغوز,1020
oğuzhan, اوغوزخان,1671
okan, اوقان,158
olcay, اولجاى,51
onur, اونور,263
oruç, اوروچ,216
orhan, اورخان,858
oya, اويا,18
ozan, اوزان,65
önder, اوگدر,231
özay, اوزاى,25
özgünaz, اوزكو نا,91
özgül, ازكل,58
özgür, اوزكور,240
öznur, اوزنور,270
pakize, پاكيزه,45
pelin, پلين,92
pembe, پمبه,49
perihan, پريخان,863
pınar, پینار,263
radiye, راضيه,1016
rahmet, رحمت,648
rahmi, رحمى,258
raziye, رازيه,223
refika, رفيقه,395
regaib, رغاءب,1204
regaip, رغاءب,1204
remziye, رمزيه,262
resul, رسول,296
reyhan, ریحان,269
reyyan, ريّان,261
rıdvan, رضوان,1057
ruhiye, روحيه,229
rümeysa, رُميسا,311
rüveyda, رويده,225
saadet, سَعادت,535
sabahat, صباحت,501
sabiha, صبيحه,115
sabire, صبيره,307
sabriye, صبریه,307
safvet, صفوت,576
saffet, صفوت,576
safiye, صَفیه,185
saide, سعیده,149
said, سعيد,144
saime, صائمه,146
samed, صمد,134
samet, صمد,134
sanem, صنم,180
saniye, ثانيه,566
satı, صاتى,501
seçil, سچيل,103
seda, صدا,95
sedat, سداد,69
sefa, سفا,141
seher, سحر,268
selahattin, صلاح الدين,224
selahaddin, صلاحالدّين,224
selçuk, سلچوق,199
selda, سلدا,95
selma, سِلما,131
selvi, سلوى,106
semahat, سماحت,509
semih, سميح,118
semiha, سميحه,123
serap, سراب,263
serdar, سردار,465
serkan, سرقان,411
sermet, سرمد,304
sermin, سرمين,360
serpil, سرپل,292
servet, ثروت,1106
seval, سوال,97
sevda, سودا,71
sevgi, سَوكى,96
sıddık, صِدیق,204
sıddıka, صدّيقه,209
sıdıka, صدّيقه,209
sibel, سيبل,102
sinan, سنان,161
solmaz, صولماز,174
soner, صوڭر,316
songül, صوڭكل,166
suna, صونا,147
süheyla, سُهیلا,106
sünbül, سُنبل,142
şadiye, شادیه,320
şafak, شفاق,481
şafiye, شافيه,396
şaheser, شاه أثر,1007
şaziye, شازيه,323
şebnem, شبنم,392
şehri, شهرى,515
şenol, شنول,386
şöhret, شهرت,905
şükran, شكران,571
şükriye, شكريه,535
şükrü, شكرى,530
tahsin, تحسین,528
talha, طَلحه,52
talia, طالعه,115
taner, تاڭر,621
tayyip, طَیب,21
tayyib, طيّب,21
tenzile, تنزيله,502
teslime, تسليمه,545
tuba, طوبی,27
tufan, طوفان,146
turhan, طورخان,866
tülay, تولاى,447
türkan, توركان,677
ufuk, افق,181
umut, اوموت,453
ülfet, الفت,511
ümran, عمران,361
ünal, اونال,88
vahide, واحده,24
vahit, واحد,19
vahid, واحد,19
vasfiye, وصفيه,191
vildan, ولدان,91
yadigar, یادگار,236
yaşar, یاشار,512
yavuz, ياووز,30
yelda, یَلدا,45
yeliz, يليز,57
yeşim, يشيم,360
yıldıray, يلديراى,265
yıldırım, ییلدیرم,304
yıldız, ييلديز,71
yüksel, يوكسل,126
zahide, زاهده,22
zennuriye, ذنّوريه,971
zeyneb, زينب,69
zeytin, زیتون,473
zübeyde, زُبیده,28
zühal, زحل,45
zülal, زلال,68
züleyha, زليخة,1047
zülfiye, زلفيه,132
zülfü, زلفو,123
ahmed arif, احمد عارف,404
arif ahmet, عارف احمد,404
arif ahmed, عارف احمد,404
abdulhamid, عبد الحميد,169
ayşe gül, عائشة كل,831
zehra betül, زهرة بتول,1050
ertürk, ارتورك,827
yakub, يعقوب,188
seyit, سيد,74
hadice, خديجة,1017
hafize, حفيظه,1003
mevlüde, مولوده,91
fikri, فكري,310
tayfun, طيفون,155
hacı, حاجى,22
güngör, كونكور,302
adlar, آدلار,236
oğlan adı, اوغلان آدی ...,1103
ad, آد,5
burçin, بورچین,271
i̇simler, اسملر,331
güzel, گوزل,63
türkcenin, تركجه نك,698
türkce, تركجه,628
bir, بر,202
iki, ایكی,41
üç, اوچ,10
dört, درت,604
beş, بش,302
altı, آلتی,441
yedi, یدی,24
sekiz, سكز,87
dokuz, طقوز,122
onbir, اون بر,259
oniki, اون ایکی,98
fatih sultan mehmet, فاتح سلطان محمد,731
maaş, معاش,411
kelime, كلمه,95
kainat, كائنات,482
istisna, استثناء,1013
irsi, ارثی,711
sümeyye, سُمیه,115
recep tayyip, رجب طيّب,226
yemuş, يه موش,361
kamer, قمر,340
kanaat, قناعة,621
bülent, بلند,86
eşref, اَشرف,581
memnune, ممنونة,586
rıza, رضا,1001
ali rıza, علي رضا,1111
abdulferid, عبدالفريد,401
ferid, فريد,294
abdülferid, عبدالفريد,401
eymen, ايمن,101
necmeddin, نجم الدين,188
necmettin, نَجم‌الدین,188
sabri, صبری,302
mehmet sabri, محمد صبري,394
güzide, كوزيده,52
ahmet mesut, أحمد مسعود,233
haydar, حیدر,222
muzaffer, مُظفر,1220
keriman, كريمان,321
şeyhmus, شهموز,358
şehmuz, شهموز,358
temren, تمرن,690
mülkinaz, ملكيناز,158
kürşad, كورشاد,531
gülal, كلال,81
behtiye, بهتيه,422
tevhide, توحیدا,429
güleser, كل أسر,311
nesip, نسيب,122
şahhanım, شاه خانم,997
aytekin, آيتكين,491
nezaket, نزاكت,478
nurşah, نورشاه,562
mebrure, مبروره,453
râhime, راحمه,254
asena, آسه نه,121
pervin, پروین,268
asime, اصمه,136
sema, سَما,101
dila, ديلا,45
hakime, حاكمه,74
lamia, لامِعه,146
şennaz, شن ناز,408
şener, شن أر,551
gülçin, كلچېن,113
altay, التاى,442
nurcihan, نورجهان,315
antar, عنتر,720
meriç, مرچ,243
sevkan, سوقان,217
özdil, اوزدل,48
gülzade, كل زاده,67
sadullah, صعاد الله,231
nurhan, نورخان,907
şinasi, شناسى,421
kadem, قدم,144
tuna, طونه,70
neziha, نزيهه,77
tamam, تمام,481
semira, سميره,315
beyaz, بياض,813
mihdiye, مهديه,64
yurda, يوردا,221
aybars, أيبارس,274
zümra, زمرا,248
sahra, صحراء,300
akhenaton, اخناتون,1108
ümmiye, أمّية,451
safura, صافورا,378
ersel, ارسل,291
muteber, معتبر,712
gülsevim, كل سويم,166
emriye, امريه,256
didar, دیدار,219
berrak, برّاق,303
medine, مدينه,109
güldeste, كل دسته,519
necati, نجاتى,464
çimen, چمن,93
baki, باقي,113
bakiye, باقيه,118
feriye, فرييه,305
rabiatül adeviye, رابعة العدوية,1194
gülçimen, كلچمن,143
nazike, نازكه,83
fındık, فندق,234
duran, دوران,261
abidin, عابدين,137
zümrüt, زمرد,251
zühriye, زهريه,227
ziyaüddin, ضياءالدّين,907
zilan, زيلان,98
zeynullah, زين الله,133
zeynelabidin, زین‌العابدین,235
zeynel, زينل,97
zeyd, زيد,21
zerrin, زرین,267
zekeriya, زكريا,238
zarife, ظریفه,1195
i̇nşirah, انشراح,560
gülhatun, كل خاتون,1107
yuşa, یُوشع,386
yurdaer, يورده ار,426
yücel, يوجل,49
yonca, يونجا,70
yılmaz, ييلماز,98
yiğit, ييكيت,450
yeter, يتر,610
yekta, یکتا,431
yaser, ياسر,271
yaren, يارن,261
yaprak, ياپراق,314
yağmur, ياغمور,1257
yağız, ياغيز,1028
vuslat, وصلت,526
veysi, ويسى,86
veysel, ويسل,106
vesile, وسيله,111
vera, ورع,276
vedat, وِداد,15
vatan, وطن,65
vasfi, وصفي,186
ünzile, انزيله,103
ümmü, امّ,41
üzeyir, عزير,287
ümmühan, امّ خان,692
ümmügülsüm, امّ كلثم,631
ülkü, اولكو,63
ülgen, اولكن,107
uzel, اوزل,44
umutcan, اومودجان,111
umay, اوماى,58
ulaş, اولاش,338
ukba, عقبى,182
türk, تورك,626
turgay, طورغاى,1226
turan, توران,657
tuncer, تونجر,659
tunay, توناى,467
tülin, تولين,496
tuğrul, طوغرول,1251
tuğra, طغرا,1210
tuana, توانا,458
treyscilia, تيريسجيليا,734
toprak, طوپراق,318
tolga, طولقا,146
timurhan, تيمورخان,1307
timur, تيمور,656
timuçin, تيموچين,519
teoman, تءومان,498
tenay, تنآى,461
temel, تمل,470
tekin, تکین,480
taybar, تايبار,614
tarkan, تارقان,752
tansu, طاڭصو,126
tansel, تانسل,541
talip, طالب,42
talat, طلعت,509
taha, طاها,16
tacettin, تاج الدّين,499
şeref, شرف,580
şahinde, شاهينده,375
şule, شعله,405
şükür, شكر,520
şüheda, شهدا,310
şuayb, شعيب,382
şivan, شيوان,367
şiar, شعار,571
şeyda, شِیدا,315
şevki, شوقي,416
şevket, شوکت,726
şentürk, شنتورك,976
şennur, شن نور,606
şeniz, شنيز,367
şendoğan, شن دوغان,1411
şenay, شن آى,361
şehriban, شهربان,558
şehnaz, شهناژ,363
şefika, شفيقه,495
şahan, شاهان,357
şaduman, شادمان,396
sudenur, سوده نور,331
sude, سوده,75
siyabend, سييابند,137
sıtkı, صدقى,204
sırma, صئرمه,345
simge, سيمگه,135
sıla, صله,125
sezgi, سزكى,97
seyyide, سيّده,79
seyyid, سيّد,74
seyhan, سيخان,721
seyfullah, سِیف‌الله,216
sevinç, سوينچ,129
sevil, سِویل,106
sevdegül, سوده كل,125
sevde, سوده,75
sevdanur, سودانور,327
sevcan, سوجان,120
sevban, ثَوبان,559
serya, سريا,271
server, سرور,466
sertan, سرتان,711
sertaç, سرتاچ,664
serra, سرّاء,262
serhat, سرحد,272
serenay, سرناى,321
serdem, سردم,304
serçiyan, سرچييان,334
sercan, سرجان,314
senanur, ثنانور,807
sena, ثَنا,551
semanur, سمانور,357
selviye, سلويه,111
selina, سلينا,151
selin, سَلین,150
selay, سلاى,101
sefer, سفر,340
seden, سدن,114
sedef, صدف,174
sedanur, صدانور,351
seçkin, سچكين,143
satılmış, صاتيلمش,871
sarp, صارپ,293
sara, سارا,262
sancaklı, سانجاقلى,255
safa, صفا,171
sadıka, صادقه,200
saadettin, سعد الدّين,229
sadegül, ساده كل,120
sabahattin, صباحالدّين,196
raif, راءف,282
raşide, راشده,510
rüzgar, روزگار,434
rüveyde, رويده,225
rüştü, رشدى,514
ruşen, روشن,556
rıfat, رفعت,750
reha, رها,206
rasime, راسمه,306
rasim, راسم,301
rana, رعنا,321
ramiz, رامز,248
polat, پولات,439
paşa, پاشا,304
ömürlü, عمرلو,346
ömür, عمر,310
özüberk, اوزىبرك,246
öztürk, اوزتورك,640
özsu, اوزصو,110
özkan, اوزقان,165
özhan, اوزخان,665
özgürhan, اوزكورخان,891
özen, اوزن,64
özden, اوزدن,68
öykü, اويكو,43
ölmez, اولمز,84
orhanalp, اورخان الپ,891
nurçin, نورچين,319
nurseven, نورسون,372
nazik, نازك,78
nusret, نُصرت,740
nurulhüda, نورالهدا,297
nurmelek, نورملك,346
nurgül, نوركل,306
nurdan, نوردن,310
nurbanu, نوربانو,315
niyazi, نيازى,78
nisanur, نسانور,367
nihan, نهان,106
nida, نِدا,55
nezir, نَذیر,960
nevanur, نوانور,313
neva, نوا,57
neslişah, نسل شاه,446
neşe, نشءه,356
nehir, نهر,255
nedime, نَدیمه,109
nedim, نديم,104
necibe, نجيبه,70
necip, نَجیب,65
nazlıcan, نازلى جان,152
nazan, نازان,109
nagihan, ناگهان,127
nagehan, ناگهان,127
nafize, نافذه,836
nafiz, نافذ,831
nafiye, نافيه,146
nadiye, ناديه,70
minnet, منّت,490
mahperi, ماهپرى,258
meserret, مسرّت,700
müyesser, ميسّر,310
müslüm, مسلم,170
müslime, مسلمه,175
müslim, مُسلِم,170
müşerref, مشرّف,620
muradiye, مراديه,260
munise, مونسه,161
mülhime, ملهمه,120
mukaddes, مقدّس,204
müjgan, مژگان,118
müjdat, موژداد,62
müge, موكه,71
mücella, مجلّا,74
mücahit, مجاهد,53
müberra, مبرّا,243
muaz, معاذ,811
mualla, معلّى,150
mirza, ميرزا,258
miray, ميراى,261
mindaş, مينطاش,410
mina, مئنا,101
mikdat, مقداد,149
meyra, ميرا,251
mevlüt, مولد,80
mevlit, مولد,80
meva, مأوى,57
meriha, مريخه,855
merih, مريخ,850
